iter	RMSE
0	546.9776115
1	535.6989396
2	524.6760457
3	513.6020595
4	503.0846444
5	492.8726572
6	482.6625962
7	473.0978684
8	462.8633687
9	453.5527469
10	444.6930826
11	435.5221522
12	426.5605471
13	417.8349007
14	409.1636439
15	400.6851181
16	392.6110064
17	384.9127351
18	376.7321338
19	369.4419221
20	361.7506656
21	354.3846753
22	347.4892566
23	341.9635758
24	335.1788034
25	328.6535641
26	321.7363595
27	315.7523496
28	309.5847029
29	303.6586588
30	297.4580168
31	291.5209402
32	285.5654718
33	279.827204
34	273.9042236
35	268.5336552
36	262.979724
37	257.8491579
38	252.598727
39	247.6573884
40	242.6714579
41	237.7099381
42	233.0681699
43	228.3333837
44	223.9476776
45	219.6480963
46	215.2675137
47	210.9760349
48	206.9715466
49	202.7663366
50	198.8836168
51	194.9369818
52	191.3652364
53	187.509291
54	183.7564103
55	180.5080372
56	177.0817134
57	173.828502
58	170.4365226
59	167.4313819
60	164.1277405
61	161.2961227
62	158.4767661
63	155.4224996
64	152.828828
65	150.2215642
66	147.6411935
67	144.9707361
68	142.4291957
69	139.9205258
70	137.4094029
71	135.0474199
72	132.5745667
73	130.4067841
74	128.0673983
75	125.810368
76	123.6364201
77	121.4631891
78	119.3510923
79	117.3677734
80	115.3486285
81	113.3695982
82	111.3231966
83	109.5256455
84	107.6038944
85	105.9684468
86	104.2614655
87	102.5419423
88	100.9084038
89	99.21686201
90	97.69504693
91	96.07027228
92	94.59472878
93	93.2820697
94	91.96046853
95	90.48869008
96	89.1645208
97	87.95179588
98	86.66555529
99	85.43083845
100	84.1966548
101	82.91782916
102	81.75193465
103	80.61134841
104	79.50064959
105	78.34622957
106	77.26627617
107	76.28710005
108	75.26444575
109	74.28724335
110	73.29105017
111	72.37502948
112	71.45814882
113	70.53728292
114	69.65620059
115	68.74353987
116	67.92371167
117	67.21200998
118	66.48316991
119	65.77287261
120	65.01606319
121	64.25960846
122	63.48947008
123	62.77524225
124	62.16772358
125	61.51480603
126	60.917393
127	60.25455024
128	59.59400556
129	59.01911781
130	58.46579633
131	57.93908198
132	57.39980715
133	56.83174772
134	56.35442199
135	55.85514899
136	55.32033024
137	54.77580548
138	54.25280482
139	53.8411055
140	53.40516734
141	52.964315
142	52.5095548
143	52.06180148
144	51.63933888
145	51.27046778
146	50.88623051
147	50.50457483
148	50.149215
149	49.83542375
150	49.4538998
151	49.13134492
152	48.82234584
153	48.43870299
154	48.15437202
155	47.82692395
156	47.52383505
157	47.22197407
158	46.93262525
159	46.66006657
160	46.43180173
161	46.1724502
162	45.90124885
163	45.64619858
164	45.42726748
165	45.14551023
166	44.91983979
167	44.6823525
168	44.48726422
169	44.28711873
170	44.0747041
171	43.85651866
172	43.64237695
173	43.42471057
174	43.24736552
175	43.05245089
176	42.87303993
177	42.67974524
178	42.52165502
179	42.35710522
180	42.17673004
181	42.02339141
182	41.8523821
183	41.67020274
184	41.51289107
185	41.37471392
186	41.2128944
187	41.06401898
188	40.90143274
189	40.74149059
190	40.6000295
191	40.43936997
192	40.29482049
193	40.18845835
194	40.03683092
195	39.90345635
196	39.74961378
197	39.58847468
198	39.460064
199	39.35137633
200	39.17565882
201	39.04347953
202	38.87928674
203	38.74485316
204	38.66879072
205	38.53404109
206	38.38552227
207	38.29173137
208	38.17594189
209	38.06528723
210	37.96182023
211	37.87975081
212	37.75115615
213	37.63224095
214	37.53910183
215	37.46558542
216	37.36044153
217	37.23017076
218	37.09369791
219	36.99087522
220	36.82292581
221	36.67142986
222	36.56364266
223	36.45495178
224	36.32556062
225	36.22528664
226	36.14566922
227	36.07549392
228	35.95304489
229	35.86387515
230	35.7409847
231	35.6468915
232	35.54133415
233	35.42994125
234	35.31370841
235	35.20833571
236	35.13656668
237	35.0250536
238	34.92943641
239	34.84475305
240	34.73905247
241	34.66964494
242	34.5481379
243	34.46116159
244	34.41918011
245	34.34427129
246	34.2988679
247	34.25411962
248	34.18265253
249	34.11422331
250	34.0023212
251	33.87481492
252	33.78807807
253	33.72611622
254	33.65711151
255	33.56924506
256	33.49750303
257	33.42935219
258	33.34878946
259	33.32434552
260	33.16843678
261	33.0104529
262	32.9677973
263	32.89065256
264	32.81104548
265	32.74393275
266	32.69909963
267	32.60782459
268	32.54074083
269	32.45531586
270	32.37276539
271	32.2574564
272	32.17080026
273	32.02235713
274	31.97829509
275	31.93632633
276	31.84320379
277	31.73253114
278	31.63326596
279	31.59788778
280	31.48913462
281	31.4345093
282	31.3530749
283	31.30204282
284	31.21835405
285	31.18128079
286	31.14360589
287	31.11212009
288	31.00356329
289	30.94589722
290	30.92409343
291	30.90110493
292	30.8456278
293	30.71585335
294	30.62146194
295	30.50892074
296	30.47044631
297	30.41004037
298	30.27785606
299	30.25742546
300	30.23448211
301	30.14661601
302	30.11070589
303	30.05972812
304	30.02333903
305	30.00795092
306	29.98890853
307	29.93361305
308	29.909133
309	29.86387372
310	29.81735778
311	29.7836432
312	29.69752496
313	29.65455204
314	29.64038589
315	29.60732808
316	29.51396881
317	29.48140914
318	29.41046728
319	29.33607093
320	29.28697738
321	29.23822781
322	29.20735955
323	29.16588249
324	29.12293909
325	29.09470751
326	29.0433407
327	28.99664508
328	28.95244971
329	28.91102334
330	28.88723567
331	28.86453622
332	28.81669367
333	28.79354377
334	28.7468528
335	28.70349394
336	28.68065779
337	28.63784691
338	28.58345962
339	28.54116377
340	28.50766574
341	28.44723098
342	28.39437642
343	28.35240241
344	28.27237328
345	28.25036181
346	28.20885297
347	28.13066827
348	28.0707151
349	28.00498174
350	27.94088126
351	27.86566748
352	27.80796734
353	27.75133633
354	27.69575075
355	27.6411875
356	27.61593255
357	27.59054141
358	27.53695861
359	27.48107944
360	27.45656967
361	27.43465476
362	27.40996511
363	27.36810895
364	27.30574387
365	27.26441426
366	27.21242021
367	27.1879786
368	27.14709689
369	27.12593568
370	27.07762695
371	27.02652445
372	26.97322039
373	26.95227935
374	26.89848819
375	26.87489335
376	26.81286924
377	26.75162518
378	26.69203398
379	26.65112498
380	26.62770371
381	26.56907121
382	26.5216391
383	26.46398852
384	26.4435826
385	26.38693028
386	26.36674357
387	26.31106788
388	26.25639181
389	26.2393695
390	26.21937029
391	26.19963109
392	26.15463316
393	26.11021496
394	26.09066061
395	26.0494407
396	26.0263256
397	25.98233393
398	25.95947594
399	25.90734216
400	25.88795163
401	25.83670822
402	25.81752961
403	25.77648341
404	25.7537676
405	25.71115528
406	25.68869226
407	25.63865068
408	25.61963358
409	25.5779997
410	25.55574697
411	25.51488308
412	25.49288291
413	25.444015
414	25.42515833
415	25.3843776
416	25.34383499
417	25.32200718
418	25.30334059
419	25.25562722
420	25.21572082
421	25.1972285
422	25.156976
423	25.13532735
424	25.04860846
425	25.00895165
426	24.98747099
427	24.97100606
428	24.9498113
429	24.86434313
430	24.84334963
431	24.79680295
432	24.7804966
433	24.75973871
434	24.6754811
435	24.63638273
436	24.61578712
437	24.59964429
438	24.57932236
439	24.496288
440	24.48030715
441	24.46018596
442	24.44032523
443	24.40144987
444	24.31962536
445	24.30380386
446	24.28410544
447	24.2646621
448	24.21905261
449	24.13839886
450	24.12272794
451	24.10343694
452	24.0879746
453	24.06893901
454	23.98954295
455	23.97068937
456	23.93220851
457	23.91689896
458	23.89825501
459	23.82002731
460	23.80156254
461	23.7502319
462	23.73799977
463	23.70002905
464	23.68484088
465	23.66653788
466	23.58956725
467	23.57453168
468	23.55641007
469	23.50596203
470	23.49383048
471	23.48186039
472	23.46392155
473	23.44906826
474	23.37337001
475	23.35560883
476	23.30583946
477	23.29395929
478	23.25649011
479	23.23809098
480	23.22047546
481	23.17670239
482	23.15927892
483	23.08729902
484	23.05055962
485	23.03228869
486	22.98371723
487	22.96303497
488	22.94569144
489	22.90965501
490	22.87478733
491	22.85665893
492	22.83948728
493	22.81920544
494	22.78469005
495	22.7672819
496	22.71918876
497	22.68371577
498	22.66381601
499	22.64579971
500	22.6115067
501	22.59424564
502	22.56034856
503	22.52527454
504	22.50742315
505	22.49033968
506	22.44294248
507	22.42335593
508	22.38967611
509	22.35523203
510	22.3375148
511	22.32057314
512	22.28720221
513	22.24037386
514	22.22111001
515	22.18728392
516	22.1704977
517	22.15289781
518	22.0812426
519	22.06460674
520	22.01855998
521	22.00212563
522	21.9831391
523	21.96690096
524	21.95043102
525	21.90486338
526	21.88616485
527	21.87008215
528	21.83695598
529	21.8039685
530	21.78563725
531	21.76930104
532	21.7374594
533	21.7047903
534	21.65965506
535	21.62704605
536	21.60903245
537	21.57661876
538	21.56038548
539	21.54349022
540	21.47400873
541	21.42958826
542	21.39746158
543	21.38132888
544	21.36561701
545	21.34968477
546	21.30593525
547	21.28809665
548	21.27253449
549	21.2409904
550	21.20907553
551	21.19255183
552	21.17673359
553	21.14515939
554	21.10679886
555	21.09113651
556	21.05986695
557	21.04229876
558	20.99925411
559	20.97051994
560	20.95957605
561	20.92852707
562	20.86139887
563	20.84580892
564	20.80351529
565	20.79265686
566	20.77744904
567	20.76672505
568	20.75057047
569	20.73513768
570	20.68020086
571	20.59328618
572	20.56277601
573	20.54796183
574	20.51153096
575	20.45835228
576	20.44115297
577	20.42572222
578	20.41101539
579	20.39650175
580	20.38125063
581	20.35058638
582	20.29798902
583	20.28732537
584	20.27293594
585	20.26240467
586	20.23199004
587	20.21684585
588	20.18688944
589	20.10270362
590	20.06293856
591	20.05062323
592	20.02096809
593	19.96987894
594	19.95948588
595	19.94533267
596	19.93506891
597	19.91995721
598	19.90597237
599	19.87074005
600	19.85578652
601	19.80573009
602	19.77568027
603	19.76179494
604	19.74977054
605	19.71681622
606	19.68450312
607	19.65264368
608	19.62123096
609	19.59025816
610	19.55971861
611	19.54371132
612	19.51371217
613	19.48413169
614	19.46427379
615	19.38179429
616	19.35510869
617	19.27676316
618	19.25032085
619	19.23627137
620	19.2265926
621	19.14970975
622	19.12348452
623	19.109539
624	19.09993412
625	19.08616421
626	19.01065836
627	18.98462982
628	18.97347643
629	18.95980674
630	18.93410022
631	18.92059143
632	18.84633576
633	18.81354059
634	18.76787
635	18.75835392
636	18.73316235
637	18.71969627
638	18.68769331
639	18.64331161
640	18.63387124
641	18.62051817
642	18.60489793
643	18.59052456
644	18.55918247
645	18.54372552
646	18.50026133
647	18.48717834
648	18.4718683
649	18.4577837
650	18.44265785
651	18.41193357
652	18.36939118
653	18.35543382
654	18.34042826
655	18.32776854
656	18.31294441
657	18.28285053
658	18.24121324
659	18.22753824
660	18.21283284
661	18.19933545
662	18.18480749
663	18.17255916
664	18.1430624
665	18.1114615
666	18.09706037
667	18.0463713
668	18.01772739
669	18.00344791
670	17.99016244
671	17.96181988
672	17.94769051
673	17.9345571
674	17.90651333
675	17.89253282
676	17.84227945
677	17.81447382
678	17.80143371
679	17.7875612
680	17.76004917
681	17.7463331
682	17.73445381
683	17.69422542
684	17.66694375
685	17.65415017
686	17.64053557
687	17.61354281
688	17.60008206
689	17.58843132
690	17.55985697
691	17.53310775
692	17.48404298
693	17.47066626
694	17.44414497
695	17.4176183
696	17.40512331
697	17.37886019
698	17.33032219
699	17.31711016
700	17.29107153
701	17.26507028
702	17.25340633
703	17.22629441
704	17.21477106
705	17.16671839
706	17.0984433
707	17.06935093
708	17.05799948
709	17.01994955
710	17.00871855
711	16.9788484
712	16.95186557
713	16.94075591
714	16.92755643
715	16.89928639
716	16.88839201
717	16.86306772
718	16.79828295
719	16.77030265
720	16.70441543
721	16.67668613
722	16.66599191
723	16.60361131
724	16.57619574
725	16.54000493
726	16.51798782
727	16.47462302
728	16.4319524
729	16.38996332
730	16.34864346
731	16.32341049
732	16.26277406
733	16.23203172
734	16.20699143
735	16.17664599
736	16.15192106
737	16.1219639
738	16.09241019
739	16.06797051
740	16.05079991
741	16.02158997
742	15.99742458
743	15.96858063
744	15.95153945
745	15.92764262
746	15.89912767
747	15.88224366
748	15.85861021
749	15.83041767
750	15.81368897
751	15.78583954
752	15.76243772
753	15.74586265
754	15.71832414
755	15.69517577
756	15.66797219
757	15.65151944
758	15.62862027
759	15.60171637
760	15.58541434
761	15.56276048
762	15.5361513
763	15.50193319
764	15.47949779
765	15.45314167
766	15.43711156
767	15.41106966
768	15.38884351
769	15.35525843
770	15.32234516
771	15.30031149
772	15.27442167
773	15.25883066
774	15.23702861
775	15.21141702
776	15.17911039
777	15.15751495
778	15.13214278
779	15.11681025
780	15.09205655
781	15.06695338
782	15.04552213
783	15.01052179
784	14.98931555
785	14.96838288
786	14.95328203
787	14.89871729
788	14.86722834
789	14.85228653
790	14.82159401
791	14.79794644
792	14.74442061
793	14.7206627
794	14.69092192
795	14.67658216
796	14.6532408
797	14.61901377
798	14.59608003
799	14.57212298
800	14.55142965
801	14.52775442
802	14.5049884
803	14.48451343
804	14.46106833
805	14.4385177
806	14.4182587
807	14.39504139
808	14.37270456
809	14.35265921
810	14.32966744
811	14.31529198
812	14.29314841
813	14.27329158
814	14.2504978
815	14.22856476
816	14.20891726
817	14.18634489
